Station_name,Day_of_week,Time_slot,Weather_condition,Event_nearby,Is_holiday,Avg_passenger_count
Noida City Centre,Friday,Night(9PM - 11PM),Rainy,Yes,Yes,608
Rohini West,Sunday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,234
Inderlok,Sunday,Morning(7PM - 10 AM),Foggy,Yes,Yes,301
MG Road,Monday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,577
Vaishali,Saturday,Evening(4PM - 8PM),Cloudy,Yes,Yes,207
Noida City Centre,Tuesday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,671
Mayur Vihar,Tuesday,Morning(7PM - 10 AM),Foggy,Yes,No,433
MG Road,Thursday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,518
MG Road,Sunday,Night(9PM - 11PM),Rainy,Yes,Yes,290
Central Secretariat,Tuesday,Evening(4PM - 8PM),Rainy,Yes,Yes,610
Vaishali,Sunday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,252
Kashmere Gate,Tuesday,Afternoon(11AM - 2PM),Clear,Yes,Yes,991
Hauz Khas,Friday,Night(9PM - 11PM),Rainy,Yes,Yes,626
New Delhi,Monday,Night(9PM - 11PM),Rainy,Yes,No,905
Dwarka Sector 21,Sunday,Night(9PM - 11PM),Cloudy,Yes,Yes,181
Hauz Khas,Wednesday,Evening(4PM - 8PM),Clear,Yes,No,238
Rajiv Chowk,Monday,Afternoon(11AM - 2PM),Clear,Yes,Yes,993
New Delhi,Thursday,Night(9PM - 11PM),Foggy,Yes,Yes,1063
New Delhi,Monday,Evening(4PM - 8PM),Cloudy,Yes,Yes,998
Yamuna Bank,Tuesday,Afternoon(11AM - 2PM),Cloudy,Yes,No,314
Karol Bagh,Thursday,Morning(7PM - 10 AM),Rainy,Yes,Yes,672
Shivaji Stadium,Monday,Night(9PM - 11PM),Foggy,Yes,Yes,646
Inderlok,Thursday,Evening(4PM - 8PM),Rainy,Yes,Yes,611
Inderlok,Wednesday,Afternoon(11AM - 2PM),Clear,Yes,Yes,604
Mayur Vihar,Monday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,520
New Delhi,Sunday,Night(9PM - 11PM),Foggy,Yes,Yes,764
Rohini West,Sunday,Night(9PM - 11PM),Rainy,Yes,Yes,289
Kashmere Gate,Saturday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,928
Chandni Chowk,Tuesday,Evening(4PM - 8PM),Clear,Yes,Yes,464
Mayur Vihar,Thursday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,484
Noida City Centre,Saturday,Afternoon(11AM - 2PM),Clear,Yes,Yes,250
Saket,Saturday,Evening(4PM - 8PM),Rainy,Yes,Yes,255
Noida City Centre,Friday,Night(9PM - 11PM),Cloudy,Yes,Yes,551
Vishwavidyalaya,Thursday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,558
Central Secretariat,Saturday,Night(9PM - 11PM),Clear,Yes,Yes,214
Botanical Garden,Friday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,583
Vishwavidyalaya,Saturday,Night(9PM - 11PM),Clear,Yes,Yes,191
Saket,Tuesday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,547
Hauz Khas,Wednesday,Night(9PM - 11PM),Cloudy,No,Yes,381
Rohini West,Friday,Night(9PM - 11PM),Foggy,Yes,Yes,633
Inderlok,Wednesday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,567
Noida City Centre,Thursday,Night(9PM - 11PM),Rainy,Yes,Yes,640
New Delhi,Tuesday,Evening(4PM - 8PM),Foggy,Yes,Yes,1081
Vaishali,Friday,Night(9PM - 11PM),Clear,Yes,Yes,425
Inderlok,Thursday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,657
Kashmere Gate,Saturday,Night(9PM - 11PM),Clear,Yes,Yes,658
Botanical Garden,Sunday,Evening(4PM - 8PM),Clear,Yes,Yes,165
Yamuna Bank,Monday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,586
Central Secretariat,Thursday,Evening(4PM - 8PM),Clear,Yes,Yes,533
Vishwavidyalaya,Wednesday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,660
Vaishali,Tuesday,Night(9PM - 11PM),Rainy,Yes,Yes,701
Central Secretariat,Tuesday,Evening(4PM - 8PM),Clear,Yes,Yes,508
Hauz Khas,Thursday,Night(9PM - 11PM),Clear,Yes,Yes,516
Dwarka Sector 21,Saturday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,224
Karol Bagh,Monday,Evening(4PM - 8PM),Cloudy,Yes,Yes,478
Central Secretariat,Wednesday,Morning(7PM - 10 AM),Clear,Yes,Yes,537
Vishwavidyalaya,Thursday,Evening(4PM - 8PM),Rainy,Yes,Yes,572
New Delhi,Thursday,Night(9PM - 11PM),Foggy,Yes,Yes,1158
Hauz Khas,Sunday,Morning(7PM - 10 AM),Clear,Yes,Yes,153
Karol Bagh,Tuesday,Morning(7PM - 10 AM),Clear,Yes,Yes,546
Central Secretariat,Wednesday,Afternoon(11AM - 2PM),Clear,Yes,Yes,547
Botanical Garden,Monday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,425
Shivaji Stadium,Tuesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,619
Inderlok,Thursday,Afternoon(11AM - 2PM),Clear,Yes,Yes,581
Vaishali,Tuesday,Evening(4PM - 8PM),Cloudy,Yes,No,314
Botanical Garden,Tuesday,Night(9PM - 11PM),Clear,Yes,Yes,506
Vaishali,Friday,Evening(4PM - 8PM),Clear,Yes,Yes,478
Shivaji Stadium,Tuesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,629
Lajpat Nagar,Saturday,Night(9PM - 11PM),Cloudy,Yes,Yes,186
Vishwavidyalaya,Tuesday,Evening(4PM - 8PM),Foggy,Yes,Yes,627
Inderlok,Saturday,Night(9PM - 11PM),Rainy,Yes,Yes,341
Lajpat Nagar,Wednesday,Morning(7PM - 10 AM),Foggy,Yes,Yes,617
Saket,Tuesday,Evening(4PM - 8PM),Cloudy,Yes,No,359
Inderlok,Monday,Night(9PM - 11PM),Cloudy,Yes,Yes,524
Lajpat Nagar,Saturday,Night(9PM - 11PM),Foggy,Yes,Yes,285
Rajiv Chowk,Saturday,Evening(4PM - 8PM),Cloudy,Yes,No,413
Noida City Centre,Thursday,Evening(4PM - 8PM),Rainy,Yes,Yes,580
Saket,Wednesday,Morning(7PM - 10 AM),Clear,Yes,Yes,495
Rajiv Chowk,Tuesday,Afternoon(11AM - 2PM),Foggy,Yes,No,932
New Delhi,Sunday,Night(9PM - 11PM),Clear,Yes,No,410
